atms/address,Lat,Lon,atms/allDay,atms/services/wheelchair/serviceCapability,atms/services/wheelchair/serviceActivity,atms/services/blind/serviceCapability,atms/services/blind/serviceActivity,atms/services/nfcForBankCards/serviceCapability,atms/services/nfcForBankCards/serviceActivity,atms/services/qrRead/serviceCapability,atms/services/qrRead/serviceActivity,atms/services/supportsUsd/serviceCapability,atms/services/supportsUsd/serviceActivity,atms/services/supportsChargeRub/serviceCapability,atms/services/supportsChargeRub/serviceActivity,atms/services/supportsEur/serviceCapability,atms/services/supportsEur/serviceActivity,atms/services/supportsRub/serviceCapability,atms/services/supportsRub/serviceActivity,blind,invalid
"пр-д Дежнева, д. 34, стр. 2",55.870769,37.631523,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"пр-т 60 лет Октября, д. 2",55.941148,37.973709,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Спортивная, д. 9",55.94142,37.497207,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Краснопрудная, д. 7/9",55.778441,37.662749,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Бутлерова, д. 12",55.651582,37.527615,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Болотниковская, д. 52, корп. 2",55.662923,37.582592,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Хабаровская, д. 14, корп. 1",55.823176,37.826044,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Загорьевский пр-д, д. 9, корп. 1",55.573989,37.668929,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Парадный пр-д, д. 2/7",55.436974,37.562542,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Тихонравова, д. 32А",55.936908,37.841127,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Советская, д. 28",55.846472,37.187216,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Коломенский пр-д, д. 6, корп. 1",55.664736,37.648313,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. 9 Мая, д. 7",55.817163,37.865436,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Малая Калитниковская, д. 22",55.733239,37.684254,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Севастопольский пр-т, д. 11, корп. 1",55.690567,37.607107,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Алма-Атинская, д. 8, корп. 3",55.638922,37.770762,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Чусовская, д. 15",55.816283,37.81106,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Ленинский пр-т, д. 135, корп. 2",55.642169,37.477552,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Ботаническая, д. 29, корп. 2, стр. 6",55.833031,37.593605,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"пр-т Мира, д. 11",55.899477,37.451995,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Главная, д. 22Б",55.7465369999,37.991137,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Камова, д. 6, корп. 1",55.697092,37.957603,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Липецкая, д. 50, стр. 2",55.579836,37.68173,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Ленинский пр-т, д. 57",55.696575,37.561544,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Гиляровского, д. 1, стр. 1",55.773758,37.630257,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Ивовая, д. 7",55.859867,37.644522,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Первомайская, д. 12",56.008908,37.829853,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Красный Казанец, д. 1г",55.722761,37.803901,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. 3-я Владимирская, д. 31/33",55.752865,37.791998,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Волгоградский пр-т, д. 17",55.72856,37.679116,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Очаковское ш., д. 13, корп. 2",55.692906,37.454834,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Сущевский Вал, д. 62",55.792265,37.625163,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Циолковского, д. 4",55.931875,37.516494,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Щелковское ш., д. 48А",55.809722,37.793876,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Новороссийская, д. 8",55.679443,37.759614,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Ферганский пр-д, д. 14, корп. 3",55.694023,37.817286,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Зеленоградская, д. 31, корп. 1",55.902843,37.585592,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Беляева, д. 29",55.885085,38.078525,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Молостовых, д. 16, корп. 1",55.751872,37.831344,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Вокзальная, д. 17",55.961248,38.043895,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Звенигородское шоссе, д. 3А",55.763523,37.556559,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Полевая, д. 10",56.055005,37.854368,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Кутузовский пр-т, д. 43",55.738191,37.528981,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Аргуновская, д. 4",55.814047,37.620905,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Багрицкого, д. 1",55.72562,37.437334,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Рокотова, д. 2а",55.612004,37.554906,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Большая Ордынка, д. 34-38",55.737193,37.623573,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Юбилейная, д. 27",55.90739,37.710791,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Введенского, д. 13А",55.642464,37.541611,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Дзержинского, д. 4",55.973068,37.910288,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Каховка, д. 19, стр. 1",55.653477,37.578406,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Василия Петушкова, д. 13",55.838213,37.40124,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Березовая аллея, д. 9, стр. 2",55.851652,37.612874,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Теплый Стан, д. 12, корп. 1",55.629816,37.486939,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. 7-я Текстильщиков, д. 4",55.698655,37.746526,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Римского-Корсакова, д. 8",55.871683,37.596354,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Карбышева, д. 19А",55.837929,37.300898,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Пролетарский пр-т, д. 6, корп. 1",55.646543,37.655212,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Миллионная, д. 11, корп. 1",55.816708,37.696507,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Хавская, д. 3",55.71876,37.613943,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Маршала Чуйкова, д. 14",55.701689,37.762471,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Маршала Бирюзова, д. 2",55.790327,37.501348,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. 2-й квартал Капотня, д. 22",55.638257,37.800865,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Большая Московская, д. 108",55.653462,37.501645,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Тверская, д. 28, корп. 2",55.769428,37.598959,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Никольская, д. 7",55.756538,37.620456,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Сходненская, д. 44/17",55.845532,37.440128,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Парковая, д. 4/1",55.554639,37.072457,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Академика Янгеля, д. 4, корп. 2",55.59604,37.593785,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Московская, д. 3",55.89347,37.450171,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. 2-я Владимирская, д. 36",55.750965,37.783536,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул.Народного Ополчения, д.20, корп.1",55.7769,37.48071,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Менжинского, д. 5",55.8664508684,37.6785359007,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Ярцевская, д. 29, корп. 3",55.7428253898,37.4178161089,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Варшавское ш., д. 78/2",55.653914,37.618749,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"Варшавское ш., д. 78/2",55.653914,37.618749,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Михайлова, д. 39",55.723643,37.780051,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
"ул. Широкая, д. 17, корп. 1",55.888018,37.668031,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,UNSUPPORTED,UNAVAILABLE,SUPPORTED,AVAILABLE,,
